run_key,run_display,model_family,variant_label,is_probe,scoring,behavior_class,accuracy,precision,recall,f1,support,family_rank,variant_rank
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,raw,direct,0.976998904709748,0.0,0.0,0.0,0.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,raw,tool_call,0.4414019715224535,0.38803727081454764,0.9969111969111969,0.558632626568585,1295.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,raw,request_for_info,0.6757940854326396,0.1534090909090909,0.025423728813559324,0.04361873990306947,1062.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,raw,cannot_answer,0.660460021905805,0.9230769230769231,0.04633204633204633,0.08823529411764706,1295.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,normalized,direct,0.8781489594742606,0.0,0.0,0.0,0.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,normalized,tool_call,0.6412924424972618,0.4970599764798118,0.9791505791505791,0.6593863754550182,1295.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,normalized,request_for_info,0.6955093099671413,0.40601503759398494,0.1016949152542373,0.16265060240963855,1062.0,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,normalized,cannot_answer,0.7264512595837898,0.8794871794871795,0.2648648648648649,0.40712166172106823,1295.0,0,0
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,raw,direct,0.9767250821467689,0.0,0.0,0.0,0.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,raw,tool_call,0.5569550930996714,0.4437478230581679,0.9837837837837838,0.6116178588574172,1295.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,raw,request_for_info,0.6645673603504929,0.33988212180746563,0.16290018832391714,0.22024188415022278,1062.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,raw,cannot_answer,0.6911281489594743,0.946524064171123,0.13667953667953667,0.2388663967611336,1295.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,normalized,direct,0.9227820372398685,0.0,0.0,0.0,0.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,normalized,tool_call,0.7428806133625411,0.5857418111753372,0.938996138996139,0.7214476416493623,1295.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,normalized,request_for_info,0.7201533406352684,0.5334448160535117,0.300376647834275,0.38433734939759034,1062.0,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,normalized,cannot_answer,0.7943592552026287,0.8908045977011494,0.47876447876447875,0.622802611752888,1295.0,0,1
llama32_3b_sft_zeroshot_eval,Llama SFT (llama32_3b_sft_zeroshot_eval),llama,SFT,False,raw,direct,0.9956188389923329,0.0,0.0,0.0,0.0,0,2
llama32_3b_sft_zeroshot_eval,Llama SFT (llama32_3b_sft_zeroshot_eval),llama,SFT,False,raw,tool_call,0.7987404162102957,0.6472134595162986,0.9505791505791505,0.7700969659055364,1295.0,0,2
