run_key,run_display,model_family,variant_label,outcome,count,fraction,family_rank,variant_rank
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,stay_correct,1310,0.35870755750273825,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,fixed,409,0.1119934282584885,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,broken,68,0.018619934282584884,0,0
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,stay_wrong,1865,0.5106790799561884,0,0
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,stay_correct,1485,0.4066265060240964,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,fixed,670,0.18346111719605696,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,broken,139,0.03806133625410734,0,1
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,stay_wrong,1358,0.3718510405257393,0,1
llama32_3b_sft,Llama SFT (llama32_3b_sft),llama,SFT,stay_correct,1944,0.5323110624315444,0,2
llama32_3b_sft,Llama SFT (llama32_3b_sft),llama,SFT,fixed,147,0.040251916757940855,0,2
llama32_3b_sft,Llama SFT (llama32_3b_sft),llama,SFT,broken,159,0.043537787513691126,0,2
llama32_3b_sft,Llama SFT (llama32_3b_sft),llama,SFT,stay_wrong,1402,0.3838992332968237,0,2
llama32_3b_dpo,Llama DPO (llama32_3b_dpo),llama,DPO,stay_correct,1451,0.39731653888280394,0,3
llama32_3b_dpo,Llama DPO (llama32_3b_dpo),llama,DPO,fixed,688,0.18838992332968238,0,3
llama32_3b_dpo,Llama DPO (llama32_3b_dpo),llama,DPO,broken,127,0.03477546549835706,0,3
llama32_3b_dpo,Llama DPO (llama32_3b_dpo),llama,DPO,stay_wrong,1386,0.3795180722891566,0,3
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,stay_correct,903,0.2472617743702081,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,fixed,120,0.03285870755750274,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,broken,188,0.05147864184008762,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,stay_wrong,2441,0.6684008762322016,1,0
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,stay_correct,873,0.23904709748083242,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,fixed,126,0.03450164293537788,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,broken,164,0.044906900328587074,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,stay_wrong,2489,0.6815443592552026,1,1
gemma3_4b_sft,Gemma SFT (gemma3_4b_sft),gemma,SFT,stay_correct,941,0.2576670317634173,1,2
gemma3_4b_sft,Gemma SFT (gemma3_4b_sft),gemma,SFT,fixed,83,0.022727272727272728,1,2
gemma3_4b_sft,Gemma SFT (gemma3_4b_sft),gemma,SFT,broken,226,0.061883899233296825,1,2
gemma3_4b_sft,Gemma SFT (gemma3_4b_sft),gemma,SFT,stay_wrong,2402,0.6577217962760131,1,2
gemma3_4b_dpo,Gemma DPO (gemma3_4b_dpo),gemma,DPO,stay_correct,927,0.25383351588170866,1,3
gemma3_4b_dpo,Gemma DPO (gemma3_4b_dpo),gemma,DPO,fixed,125,0.03422782037239869,1,3
gemma3_4b_dpo,Gemma DPO (gemma3_4b_dpo),gemma,DPO,broken,192,0.05257393209200438,1,3
gemma3_4b_dpo,Gemma DPO (gemma3_4b_dpo),gemma,DPO,stay_wrong,2408,0.6593647316538883,1,3
