run_key,run_display,model_family,variant_label,is_probe,raw_accuracy,norm_accuracy,raw_macro_f1,norm_macro_f1,n_examples,family_rank,variant_rank
llama32_3b_zeroshot,Llama 0-shot (llama32_3b_zeroshot),llama,0-shot,False,0.3773274917853231,0.4707009857612267,0.17262166514732538,0.30728965989643126,3652,0,0
llama32_3b_4shot,Llama 4-shot (llama32_3b_4shot),llama,4-shot,False,0.44468784227820374,0.5900876232201533,0.2676815349421934,0.43214690069996015,3652,0,1
llama32_3b_sft_zeroshot_eval,Llama SFT (llama32_3b_sft_zeroshot_eval),llama,SFT,False,0.7395947426067908,0.7987404162102957,0.5447494273363768,0.5899493185844046,3652,0,2
llama32_3b_dpo_zeroshot_eval,Llama DPO (llama32_3b_dpo_zeroshot_eval),llama,DPO,False,0.4323658269441402,0.585158817086528,0.24510093624706342,0.4179949498253015,3652,0,3
llama32_3b_probe_base:middle,Llama Probe-middle (llama32_3b_probe_base:middle),llama,Probe-middle,True,0.5473713033953997,0.5473713033953997,0.5498475659081151,0.5498475659081151,3652,0,4
llama32_3b_probe_base:layer_75pct,Llama Probe-75pct (llama32_3b_probe_base:layer_75pct),llama,Probe-75pct,True,0.5213581599123768,0.5213581599123768,0.5272945148520797,0.5272945148520797,3652,0,5
llama32_3b_probe_base:last,Llama Probe-last (llama32_3b_probe_base:last),llama,Probe-last,True,0.484118291347207,0.484118291347207,0.46403321535503944,0.46403321535503944,3652,0,6
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,False,0.29874041621029573,0.28012048192771083,0.2402189597058753,0.237324587328855,3652,1,0
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,False,0.2839539978094195,0.2735487404162103,0.2361276642869872,0.2353192567081843,3652,1,1
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,False,0.32858707557502737,0.28231106243154436,0.2604261767920366,0.23486183145410422,3652,1,2
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,False,0.3072289156626506,0.2866922234392114,0.2471822597392776,0.24216144963623526,3652,1,3
gemma3_4b_probe_base:middle,Gemma Probe-middle (gemma3_4b_probe_base:middle),gemma,Probe-middle,True,0.48576122672508215,0.48576122672508215,0.4834922832798079,0.4834922832798079,3652,1,4
gemma3_4b_probe_base:layer_75pct,Gemma Probe-75pct (gemma3_4b_probe_base:layer_75pct),gemma,Probe-75pct,True,0.4871303395399781,0.4871303395399781,0.48268771105778424,0.48268771105778424,3652,1,5
gemma3_4b_probe_base:last,Gemma Probe-last (gemma3_4b_probe_base:last),gemma,Probe-last,True,0.46221248630887185,0.46221248630887185,0.4558711473193396,0.4558711473193396,3652,1,6
