run_key,run_display,model_family,variant_label,is_probe,source,n_examples,raw_accuracy,normalized_accuracy,family_rank,variant_rank
llama32_3b_zeroshot,Llama Zero-shot,llama,Zero-shot,False,BFCL v2 Live Multiple,2901,0.3740089624267494,0.46880386073767666,0,0
llama32_3b_zeroshot,Llama Zero-shot,llama,Zero-shot,False,BFCL v2 Live Simple,751,0.39014647137150466,0.4780292942743009,0,0
llama32_3b_4shot,Llama 4-shot,llama,4-shot,False,BFCL v2 Live Multiple,2901,0.43950361944157185,0.5880730782488797,0,1
llama32_3b_4shot,Llama 4-shot,llama,4-shot,False,BFCL v2 Live Simple,751,0.4647137150466045,0.5978695073235686,0,1
llama32_3b_sft_zeroshot_eval,Llama SFT,llama,SFT,False,BFCL v2 Live Multiple,2901,0.7356084108927956,0.8042054463977939,0,2
llama32_3b_sft_zeroshot_eval,Llama SFT,llama,SFT,False,BFCL v2 Live Simple,751,0.7549933422103862,0.7776298268974701,0,2
llama32_3b_dpo_zeroshot_eval,Llama DPO,llama,DPO,False,BFCL v2 Live Multiple,2901,0.4164081351258187,0.5763529817304378,0,3
llama32_3b_dpo_zeroshot_eval,Llama DPO,llama,DPO,False,BFCL v2 Live Simple,751,0.4940079893475366,0.6191744340878829,0,3
gemma3_4b_zeroshot,Gemma Zero-shot,gemma,Zero-shot,False,BFCL v2 Live Multiple,2901,0.2964495001723544,0.28059289900034473,1,0
gemma3_4b_zeroshot,Gemma Zero-shot,gemma,Zero-shot,False,BFCL v2 Live Simple,751,0.30758988015978694,0.2782956058588549,1,0
gemma3_4b_4shot,Gemma 4-shot,gemma,4-shot,False,BFCL v2 Live Multiple,2901,0.2867976559806963,0.27404343329886244,1,1
gemma3_4b_4shot,Gemma 4-shot,gemma,4-shot,False,BFCL v2 Live Simple,751,0.2729693741677763,0.27163781624500666,1,1
gemma3_4b_sft_zeroshot_eval,Gemma SFT,gemma,SFT,False,BFCL v2 Live Multiple,2901,0.3316097897276801,0.2854188210961737,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT,gemma,SFT,False,BFCL v2 Live Simple,751,0.3169107856191744,0.27030625832223704,1,2
gemma3_4b_dpo_zeroshot_eval,Gemma DPO,gemma,DPO,False,BFCL v2 Live Multiple,2901,0.30920372285418823,0.2874870734229576,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO,gemma,DPO,False,BFCL v2 Live Simple,751,0.2996005326231691,0.2836218375499334,1,3
