run_key,run_display,model_family,run_group,variant_label,probe_source_variant,is_probe,is_placeholder,outcome,count,fraction,family_rank,run_group_rank,variant_rank,probe_source_rank,probe_setting_rank
llama32_3b_zeroshot,Llama Prompting Zero-shot,llama,Prompting,Zero-shot,n/a,False,False,stay_correct,1310,0.35870755750273825,0,0,0,99,99
llama32_3b_zeroshot,Llama Prompting Zero-shot,llama,Prompting,Zero-shot,n/a,False,False,fixed,409,0.1119934282584885,0,0,0,99,99
llama32_3b_zeroshot,Llama Prompting Zero-shot,llama,Prompting,Zero-shot,n/a,False,False,broken,68,0.018619934282584884,0,0,0,99,99
llama32_3b_zeroshot,Llama Prompting Zero-shot,llama,Prompting,Zero-shot,n/a,False,False,stay_wrong,1865,0.5106790799561884,0,0,0,99,99
llama32_3b_4shot,Llama Prompting 4-shot,llama,Prompting,4-shot,n/a,False,False,stay_correct,1485,0.4066265060240964,0,0,1,99,99
llama32_3b_4shot,Llama Prompting 4-shot,llama,Prompting,4-shot,n/a,False,False,fixed,670,0.18346111719605696,0,0,1,99,99
llama32_3b_4shot,Llama Prompting 4-shot,llama,Prompting,4-shot,n/a,False,False,broken,139,0.03806133625410734,0,0,1,99,99
llama32_3b_4shot,Llama Prompting 4-shot,llama,Prompting,4-shot,n/a,False,False,stay_wrong,1358,0.3718510405257393,0,0,1,99,99
llama32_3b_sft_zeroshot_eval,Llama Post-Training SFT,llama,Post-Training,SFT,n/a,False,False,stay_correct,2539,0.6952354874041621,0,1,0,99,99
llama32_3b_sft_zeroshot_eval,Llama Post-Training SFT,llama,Post-Training,SFT,n/a,False,False,fixed,378,0.10350492880613363,0,1,0,99,99
llama32_3b_sft_zeroshot_eval,Llama Post-Training SFT,llama,Post-Training,SFT,n/a,False,False,broken,162,0.0443592552026287,0,1,0,99,99
llama32_3b_sft_zeroshot_eval,Llama Post-Training SFT,llama,Post-Training,SFT,n/a,False,False,stay_wrong,573,0.1569003285870756,0,1,0,99,99
llama32_3b_dpo_zeroshot_eval,Llama Post-Training DPO,llama,Post-Training,DPO,n/a,False,False,stay_correct,1455,0.3984118291347207,0,1,1,99,99
llama32_3b_dpo_zeroshot_eval,Llama Post-Training DPO,llama,Post-Training,DPO,n/a,False,False,fixed,682,0.18674698795180722,0,1,1,99,99
llama32_3b_dpo_zeroshot_eval,Llama Post-Training DPO,llama,Post-Training,DPO,n/a,False,False,broken,124,0.033953997809419496,0,1,1,99,99
llama32_3b_dpo_zeroshot_eval,Llama Post-Training DPO,llama,Post-Training,DPO,n/a,False,False,stay_wrong,1391,0.38088718510405256,0,1,1,99,99
llama_self_full_sft_model_eval,Llama CAI SFT,llama,CAI,SFT,n/a,False,False,stay_correct,1349,0.36938663745892664,0,2,0,99,99
llama_self_full_sft_model_eval,Llama CAI SFT,llama,CAI,SFT,n/a,False,False,fixed,402,0.11007667031763417,0,2,0,99,99
llama_self_full_sft_model_eval,Llama CAI SFT,llama,CAI,SFT,n/a,False,False,broken,49,0.013417305585980284,0,2,0,99,99
llama_self_full_sft_model_eval,Llama CAI SFT,llama,CAI,SFT,n/a,False,False,stay_wrong,1852,0.5071193866374589,0,2,0,99,99
llama_self_full_dpo_base_model_eval,Llama CAI DPO (Base),llama,CAI,DPO (Base),n/a,False,False,stay_correct,1321,0.3617196056955093,0,2,1,99,99
llama_self_full_dpo_base_model_eval,Llama CAI DPO (Base),llama,CAI,DPO (Base),n/a,False,False,fixed,412,0.11281489594742607,0,2,1,99,99
llama_self_full_dpo_base_model_eval,Llama CAI DPO (Base),llama,CAI,DPO (Base),n/a,False,False,broken,66,0.018072289156626505,0,2,1,99,99
llama_self_full_dpo_base_model_eval,Llama CAI DPO (Base),llama,CAI,DPO (Base),n/a,False,False,stay_wrong,1853,0.5073932092004381,0,2,1,99,99
llama_self_full_dpo_from_sft_model_eval,Llama CAI DPO (From SFT),llama,CAI,DPO (From SFT),n/a,False,False,stay_correct,1352,0.3702081051478642,0,2,2,99,99
llama_self_full_dpo_from_sft_model_eval,Llama CAI DPO (From SFT),llama,CAI,DPO (From SFT),n/a,False,False,fixed,408,0.11171960569550932,0,2,2,99,99
llama_self_full_dpo_from_sft_model_eval,Llama CAI DPO (From SFT),llama,CAI,DPO (From SFT),n/a,False,False,broken,51,0.013964950711938665,0,2,2,99,99
llama_self_full_dpo_from_sft_model_eval,Llama CAI DPO (From SFT),llama,CAI,DPO (From SFT),n/a,False,False,stay_wrong,1841,0.5041073384446878,0,2,2,99,99
llama32_3b_probe_base:middle,Llama Probe Prompting Zero-shot (Middle layer),llama,Probe,Middle layer,Prompting Zero-shot,True,False,stay_correct,1999,0.5473713033953997,0,3,6,0,99
llama32_3b_probe_base:middle,Llama Probe Prompting Zero-shot (Middle layer),llama,Probe,Middle layer,Prompting Zero-shot,True,False,fixed,0,0.0,0,3,6,0,99
llama32_3b_probe_base:middle,Llama Probe Prompting Zero-shot (Middle layer),llama,Probe,Middle layer,Prompting Zero-shot,True,False,broken,0,0.0,0,3,6,0,99
llama32_3b_probe_base:middle,Llama Probe Prompting Zero-shot (Middle layer),llama,Probe,Middle layer,Prompting Zero-shot,True,False,stay_wrong,1653,0.4526286966046002,0,3,6,0,99
llama32_3b_probe_4shot:middle,Llama Probe Prompting 4-shot (Middle layer),llama,Probe,Middle layer,Prompting 4-shot,True,False,stay_correct,1295,0.3546002190580504,0,3,6,1,99
llama32_3b_probe_4shot:middle,Llama Probe Prompting 4-shot (Middle layer),llama,Probe,Middle layer,Prompting 4-shot,True,False,fixed,0,0.0,0,3,6,1,99
llama32_3b_probe_4shot:middle,Llama Probe Prompting 4-shot (Middle layer),llama,Probe,Middle layer,Prompting 4-shot,True,False,broken,0,0.0,0,3,6,1,99
llama32_3b_probe_4shot:middle,Llama Probe Prompting 4-shot (Middle layer),llama,Probe,Middle layer,Prompting 4-shot,True,False,stay_wrong,2357,0.6453997809419496,0,3,6,1,99
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama,Probe,75% depth layer,Post-Training SFT,True,False,stay_correct,2241,0.6136363636363636,0,3,7,2,99
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama,Probe,75% depth layer,Post-Training SFT,True,False,fixed,0,0.0,0,3,7,2,99
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama,Probe,75% depth layer,Post-Training SFT,True,False,broken,0,0.0,0,3,7,2,99
